date,daily_confirmed,daily_death,daily_recovered,cumulative_daily,cumulative_death,cumulative_recovered,susceptible
2020-03-17,0,0,0,0,0,0,900
2020-03-18,0,0,0,0,0,0,900
2020-03-19,1,0,0,1,0,0,899
2020-03-20,0,0,0,1,0,0,899
2020-03-21,2,0,0,3,0,0,897
2020-03-22,0,0,0,3,0,0,897
2020-03-23,0,0,0,3,0,0,897
2020-03-24,2,0,0,5,0,0,895
2020-03-25,4,0,0,9,0,0,891
2020-03-26,4,0,0,13,0,0,887
2020-03-27,0,0,0,13,0,0,887
2020-03-28,6,0,0,19,0,0,881
2020-03-29,5,0,0,24,0,0,876
2020-03-30,6,0,0,30,0,0,870
2020-03-31,2,1,0,32,1,0,868
2020-04-01,0,0,0,32,1,0,868
2020-04-02,9,1,0,41,2,0,859
2020-04-03,5,0,0,46,2,0,854
2020-04-04,10,1,2,56,3,2,844
2020-04-05,6,0,0,62,3,2,838
2020-04-06,7,1,3,69,4,5,831
2020-04-07,9,0,0,78,4,5,822
2020-04-08,15,1,4,93,5,9,807
2020-04-09,10,1,5,103,6,14,797
2020-04-10,14,0,1,117,6,15,783
2020-04-11,1,0,4,118,6,19,782
2020-04-12,7,0,2,125,6,21,775
2020-04-13,12,0,1,137,6,22,763
2020-04-14,12,0,3,149,6,25,751
2020-04-15,10,0,5,159,6,30,741
2020-04-16,5,0,3,164,6,33,736
2020-04-17,13,1,5,177,7,38,723
2020-04-18,13,0,5,190,7,43,710
2020-04-19,11,0,1,201,7,44,699
2020-04-20,17,0,2,218,7,46,682
2020-04-21,7,0,2,225,7,48,675
2020-04-22,12,0,15,237,7,63,663
2020-04-23,13,1,4,250,8,67,650
2020-04-24,24,0,8,274,8,75,626
2020-04-25,0,0,0,274,8,75,626
2020-04-26,24,0,8,298,8,83,602
2020-04-27,25,0,6,323,8,89,577
2020-04-28,22,0,8,345,8,97,555
2020-04-29,32,1,9,377,9,106,523
2020-04-30,18,1,13,395,10,119,505
2020-05-01,29,0,5,424,10,124,476
2020-05-02,22,1,17,446,11,141,454
2020-05-03,44,0,13,490,11,154,410
2020-05-04,65,2,26,555,13,180,345
2020-05-05,32,1,25,587,14,205,313
2020-05-06,46,1,14,633,15,219,267
2020-05-07,62,0,33,695,15,252,205
